BIBLE	NOTE	PACK	SHORT	NAME	NAMEENGLISH	LANGUAGE	LANGUAGEENGLISH	COUNTRY	RTL	LANGUAGESTYLE	LANGUAGECSS	LANGUAGECODE	LANGUAGECODEISO	LANGUAGESPELL	NOPRO	ABCOPYRIGHT	COPYRIGHT	EXTENSION	WARNING	TRANSLATOR	SOURCE	YEAR	DESCRIPTION	SOURCEDOMAIN	SOURCELINK	SOURCELINKEXTRA	DOWNLOAD	AMAZON	AMAZONNT	AMAZONJOHN	KDP	KDPNT	KDPJOHN	LULU	LULUNT	LULUHARD	LULUJOHN	LULUX	LULUNTX	LULUHARDX	LULUJOHNX	BUYOTHER
Holy-Bible---Danish---Danish-Bible			DAN	Dansk Bibel	Danish Bible	Dansk	Danish	Denmark, Greenland, Faroe Islands				dan	da	da		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Authorized by the Danish King	Authorized by the Danish King	1819-1931		Unbound.Biola.edu	https://unbound.biola.edu	https://crosswire.org/sword/modules/ModInfo.jsp?modName=DaOT1931NT1907		1729731244	1729731279	NULL	CN0EAKJ6FAG	E6QN30GXB83	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-danish-bible/paperback/product-17687gpz.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-danish-bible-new-testament/paperback/product-1rzrpgy7.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-danish-bible/hardcover/product-1498knp7.html	NULL	17687gpz	1rzrpgy7	1498knp7	NULL	NULL
Holy-Bible---Dawro---Dawuro-Bible			DAW	Geeshsha Mas'aafaa	Dawuro Bible, Ethiopian (Latin)	Dawro	Dawro	Ethiopia (Dawro, Gamo Gofa, Wolayita)				dwr				Creative Commons Attribution ShareAlike 4.0 International, 2018-2025	Creative Commons Attribution ShareAlike 4.0			The Word for the World International	The Word for the World International	2024		eBible.org	https://ebible.org/details.php?id=dwrl			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dawuro-bible-ethiopian-latin/paperback/product-w4y2rg9.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dawuro-bible-ethiopian-latin-new-testament/paperback/product-65vdykn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dawuro-bible-ethiopian-latin/hardcover/product-rm64v2w.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dawuro-bible-ethiopian-latin-gospel-primer/paperback/product-845d9qq.html	w4y2rg9	65vdykn	rm64v2w	845d9qq	NULL
Holy-Bible---Desiya---Desiya-Bible	HIN		DES	ସତିଅର୍‌ ବାଟ୍‌	Desiya New Testament	ଦେଶିଆ	Desiya	India (Odisha, Andhra Pradesh)		font-oriya.css	font-oriya	dso				Creative Commons Attribution 4.0 International, 2018-2026	Creative Commons Attribution 4.0			The Word for the World International	The Word for the World International	2020		eBible.org	https://ebible.org/details.php?id=dso			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-desiya-new-testament/paperback/product-kvwpd6n.html	NULL	NULL	NULL	kvwpd6n	NULL	NULL	NULL	NULL
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible	HIN		DHA	परमेश्वरन सत्य वचन	Dhanki Devanagari Bible	Dhanki	Dhanki	India (Gujarat, Maharashtra, Karnataka, Rajasthan)		font-devanagari.css	font-devanagari	dhn				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Dhankavi Mandli, Khargon, Raykhed, Nandurbar, Maharashtra	The Word for the World South Asia	2025		eBible.org	https://ebible.org/details.php?id=dhn			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dhanki-devanagari-bible/paperback/product-e7wyq96.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dhanki-devanagari-bible-new-testament/paperback/product-nv92npr.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dhanki-devanagari-bible/hardcover/product-45y74ke.html	NULL	e7wyq96	nv92npr	45y74ke	NULL	NULL
Holy-Bible---Dholuo---Dholuo-Bible			DHO	Moting’o Loko Manyien	Dholuo Bible	Dholuo	Dholuo	Kenya (Nyanza), Tanzania (Mara)				luo				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Biblica, Inc.	Biblica, Inc.	2020	Original work available for free at www.biblica.com and open.bible	eBible.org	https://ebible.org/details.php?id=luo	https://www.biblica.com		NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dholuo-bible/paperback/product-q62pg4k.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dholuo-bible-new-testament/paperback/product-v8jpm5y.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dholuo-bible/hardcover/product-65ym9ed.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dholuo-bible-gospel-primer/paperback/product-nvzmw25.html	q62pg4k	v8jpm5y	65ym9ed	nvzmw25	NULL
Holy-Bible---Dombe---Dombe-Bible			DOM	Dombe Bible	Dombe Bible	Dombe	Dombe	Zambia, Zimbabwe				dov				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			DUBE MAKEYI S	DUBE MAKEYI S, et al	2020		eBible.org	https://ebible.org/details.php?id=dov			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dombe-bible/paperback/product-v2ryrd.html	NULL	NULL	NULL	v2ryrd	NULL	NULL	NULL	NULL
Holy-Bible---Dongxiang---Donxian-Bible			DON	Hudani Kielien	Dongxiang Santa Bible	Santa	Dongxiang	China (Gansu, Xinjiang)				sce				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			River Street Publishing	Wycliffe Bible Translators	2020-2024		eBible.org	https://ebible.org/details.php?id=sce			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dongxiang-santa-bible/paperback/product-jeyk2v5.html	NULL	NULL	NULL	jeyk2v5	NULL	NULL	NULL	NULL
Holy-Bible---Dutch---Canisiusvertaling		1	DPC	Nederlandse Petrus Canisiusvertaling Bijbel	Dutch Petrus Canisius Translation	Nederlandse	Dutch	Netherlands, Belgium (Flanders)				nld	nl	nl		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Petrus Canisius Apologetic Society	Petrus Canisius Apologetic Society, github.com/lemtom/Canisius	1939		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=NlCanisius1939	https://ebible.org/details.php?id=nld1939		B0851MB4ZM	B0857BY2J6	B0DRM4XQSC	C24DZ53PMMQ	MWXGPMSD76Q	JZYMG73J964	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-petrus-canisius-translation/paperback/product-1wk7pzpv.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-petrus-canisius-translation-new-testament/paperback/product-1jwdp9pw.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-petrus-canisius-translation/hardcover/product-1kkdp8pj.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-petrus-canisius-translation-gospel-primer/paperback/product-zm9rk27.html	1wk7pzpv	1jwdp9pw	1kkdp8pj	zm9rk27	NULL
Holy-Bible---Dutch---Leuvense-Bible			DLB	Leuvense Bijbel	Leuvense Bible	Nederlandse	Dutch	Netherlands, Belgium (Flanders)				nld	nl	nl		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Dr. Nicoline van der Sijs, Utrecht (NL)	Dr. Nicoline van der Sijs, Utrecht (NL)	1548, 2025		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=NldLeuv1548			B0FPBJNMRG	B0FPBHHKTJ	NULL	4X65977G0Z5	23H4DS1169X	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-leuvense-bible/paperback/product-nvm947j.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-leuvense-bible-new-testament/paperback/product-v8myzgn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-leuvense-bible/hardcover/product-yvgy254.html	NULL	nvm947j	v8myzgn	yvgy254	NULL	NULL
Holy-Bible---Dutch---Schrift		2	DSB	De Heilige Schrift 1917	Dutch Holy Bible	Nederlandse	Dutch	Netherlands, Belgium (Flanders)				nld	nl	nl		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Historic / DBS / eBible.org	Historic / DBS / eBible.org	1917		eBible.org	https://ebible.org/details.php?id=nld			B0DY4YVFXX	B0DW1GYHMK	NULL	0VKF9RMCR19	WCWREQR93RK	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-holy-bible/paperback/product-7ke78pn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-holy-bible-new-testament/paperback/product-rmvpryy.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-holy-bible/hardcover/product-e759dz9.html	NULL	7ke78pn	rmvpryy	e759dz9	NULL	NULL
Holy-Bible---Dutch---Statenvertaling			DSV	Nederlandse Statenvertaling Bijbel	Dutch States Translation	Nederlandse	Dutch	Netherlands, Belgium (Flanders)				nld	nl	nl		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Synod of Dordrecht	Authorized by the Synod of Dordrecht	1618-1619		Unbound.Biola.edu	https://unbound.biola.edu	https://crosswire.org/sword/modules/ModInfo.jsp?modName=DutSVV		B0858SVKC6	B0858T6NTN	NULL	CF1PRD9M6G6	YYG8TVXVZV5	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-states-translation/paperback/product-1mmzp4pg.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-states-translation-new-testament/paperback/product-1e4d9p9k.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-dutch-states-translation/hardcover/product-1498knk7.html	NULL	1mmzp4pg	1e4d9p9k	1498knk7	NULL	NULL
Holy-Bible---Duya---Duya-Bible			DUY	Ibibemuwe-Num Iyiki Ifa Ru Dũya	Idun Duya Bible	Dũya	Idun	Nigeria (Kaduna State)				ldb				Creative Commons Attribution ShareAlike 4.0 International, 2018-2025	Creative Commons Attribution ShareAlike 4.0			Duya Development Association	SIL Nigeria, Wycliffe Bible Translators	2024		eBible.org	https://ebible.org/details.php?id=ldb			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-idun-duya-bible/paperback/product-q6d827m.html	NULL	NULL	NULL	q6d827m	NULL	NULL	NULL	NULL
Holy-Bible---Ekajuk---Ekajuk-Bible			EKA	Ekajuk Bible	Kajuk Bible	Ekajuk	Kajuk	Nigeria (Cross River)				eka				Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			The Seed Company	Luke Initiative for Scripture Translation	2024		eBible.org	https://ebible.org/details.php?id=eka			NULL	NULL	NULL	NULL	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-kajuk-bible/paperback/product-zmy6n24.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-kajuk-bible-new-testament/paperback/product-m2y7ejk.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-kajuk-bible/hardcover/product-7kvrz46.html	NULL	zmy6n24	m2y7ejk	7kvrz46	NULL	NULL
Holy-Bible---English---A-Conservative-Version			ECV	A Conservative Version	A Conservative Version	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Dr. Walter L. Porter	Dr. Walter L. Porter, StillVoices.org	2012-2013		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=ACV			B0851MHG52	B0851M294X	NULL	MHZPEDZFW3P	03VQKJRVRB3	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-a-conservative-version/paperback/product-1rzrpgn7.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-a-conservative-version-new-testament/paperback/product-1n7mpwvn.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-a-conservative-version/hardcover/product-1968gzqp.html	NULL	1rzrpgn7	1n7mpwvn	1968gzqp	NULL	NULL
Holy-Bible---English---Aionian-Bible		1	EAB	Aionian Bible	Aionian Bible	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Creative Commons Attribution 4.0 International	<a href='/Read' title='The Holy Bible Aionian Edition'>AionianBible.org</a> is not one Bible, but a library of public domain and Creative Common Bible texts. In each Bible republication the original text is wholly unaltered, except for this particular translation which is named the <i>Aionian Bible</i> translation. The <i>Aionian Bible</i> translation is a new translation identical to the <a href='/Bibles/English---World-English-Bible-Updated' title='World English Bible Updated'><span class='notranslate'>World English Bible Updated</span></a> except for the retranslation of the <a href='/Bibles/English---Aionian-Bible/Noted' title='262 Aionian Glossary Verses'>two hundred sixty-two verses</a> containing <a href='/Glossary/English---Aionian-Bible' title='Aionian Glossary'><span class='notranslate'>Aionian</span> Glossary</a> words and a few additional verses are revised to correspond with the Hebrew and Greek. This new translation includes the same notes as every Bible in the Aionian Bible library, but also retranslates the <a href='/Glossary/English---Aionian-Bible' title='Aionian Glossary'><span class='notranslate'>Aionian</span> Glossary</a> words to more accurately reflect the underlying Hebrew and Greek words. Every verse retranslation in the <i>Aionian Bible</i> is based on meticulous reference to the underlying Greek and Hebrew text. Learn more about the underlying languages from <a href='/Aionios-and-Aidios' title='Aionios and Aidios explained by Dr. Heleen Keizer and Ramelli and Konstan'>Dr. Heleen Keizer and Ramelli and Konstan</a>. The <a href='/Bibles/English---World-English-Bible-Updated' title='World English Bible Updated'><span class='notranslate'>World English Bible Updated</span></a> was chosen as a base text simply because it is the most readable public domain English translation.		Indicate Nainoia Inc as the translator and also the Editor, thanks	Nainoia Inc Aionian Verse retranslation of World English Bible Updated via Marshall	2018-2026		AionianBible.org	https://www.AionianBible.org			1727786262	1727786319	B0DKFC4B9P	P0Y8STN81ZC	CA9E4N83DGB	W0PQC4DEB5F	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aionian-bible/paperback/product-16yn6w74.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aionian-bible-new-testament/paperback/product-1z7rv6ry.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aionian-bible/hardcover/product-17e4g68e.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-aionian-bible-gospel-primer/paperback/product-v84ypn2.html	16yn6w74	1z7rv6ry	17e4g68e	v84ypn2	NULL
Holy-Bible---English---American-Standard-Version-1901			EAS	American Standard Version 1901	American Standard Version 1901	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			American Revision Committee	19th century American revision of the King James Version	1901		eBible.org	https://ebible.org/details.php?id=eng-asv			197592486X	1979477043	NULL	THRE9PYTPTX	J7CNHZE97H0	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-american-standard-version-1901/paperback/product-1wk7pvz9.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-american-standard-version-1901-new-testament/paperback/product-1dgdvmmr.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-american-standard-version-1901/hardcover/product-1568zggg.html	NULL	1wk7pvz9	1dgdvmmr	1568zggg	NULL	NULL
Holy-Bible---English---Anderson-Bible			EAA	Anderson New Testament 1864	Anderson New Testament 1864	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Henry Tompkins Anderson	Henry Tompkins Anderson	1864		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=Anderson			B0DWLLGNSB	NULL	NULL	R1NTWDC2TAZ	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-anderson-new-testament-1864/paperback/product-q62e8g8.html	NULL	NULL	NULL	q62e8g8	NULL	NULL	NULL	NULL
Holy-Bible---English---Berean-Standard			EBS	Berean Standard Bible	Berean Standard Bible	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			BSB Publishing, LLC	BSB Publishing, LLC	2021		eBible.org	https://ebible.org/details.php?id=engbsb			B0DWLV1C69	B0DWLD1CD1	NULL	YQB9RD2DTZC	ASJ11PVDMKM	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-berean-standard-bible/paperback/product-2mqzdnk.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-berean-standard-bible-new-testament/paperback/product-rmv542m.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-berean-standard-bible/hardcover/product-e75yn2p.html	NULL	2mqzdnk	rmv542m	e75yn2p	NULL	NULL
Holy-Bible---English---Bible-in-Basic-English			EBB	Bible in Basic English	Bible in Basic English	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Samuel Henry Hooke	Samuel Henry Hooke and Cambridge Press in England	1949, 1964		eBible.org	https://ebible.org/details.php?id=engBBE			1975924932	1985365529	NULL	0AS4C1XKANW	A93MWX7GWYX	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bible-in-basic-english/paperback/product-1kkdp99m.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bible-in-basic-english-new-testament/paperback/product-1768799v.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-bible-in-basic-english/hardcover/product-1rzrpeew.html	NULL	1kkdp99m	1768799v	1rzrpeew	NULL	NULL
Holy-Bible---English---Brenton-English-Septuagint			EXB	Brenton English Septuagint	Brenton English Septuagint	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Sir Lancelot Charles Lee Brenton	Sir Lancelot Charles Lee Brenton	1851		eBible.org	https://ebible.org/details.php?id=eng-Brenton			1975925084	NULL	NULL	PGSD2DYGXD4	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-brenton-english-septuagint/paperback/product-124r65jr.html	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-brenton-english-septuagint/hardcover/product-rkevpw.html	NULL	124r65jr	NULL	rkevpw	NULL	NULL
Holy-Bible---English---British-English-Septuagint-2012			EX2	British English Septuagint 2012	British English Septuagint 2012	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Sir Lancelot Charles Lee Brenton / Michael Paul Johnson	Sir Lancelot Charles Lee Brenton, updated by Michael Paul Johnson	1851, 2012		eBible.org	https://ebible.org/details.php?id=eng-uk-lxx2012			1975925106	NULL	NULL	MD7XE806HP1	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-british-english-septuagint-2012/paperback/product-1e4d98rn.html	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-british-english-septuagint-2012/hardcover/product-yen8pp.html	NULL	1e4d98rn	NULL	yen8pp	NULL	NULL
Holy-Bible---English---Catholic-Public-Domain		2	ECP	Catholic Public Domain Version	Catholic Public Domain Version	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Ronald Conte Jr.	Ronald Conte Jr. from the Latin Vercellone, Desclee, and Hetzenauer	2009		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=CPDV			B084QJ77PK	B084DFZM3C	NULL	4FANXJK4W1F	EJ4MAS5HY7M	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-catholic-public-domain-version/paperback/product-1968vngj.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-catholic-public-domain-version-new-testament/paperback/product-16698gmk.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-catholic-public-domain-version/hardcover/product-1kkd4zze.html	NULL	1968vngj	16698gmk	1kkd4zze	NULL	NULL
Holy-Bible---English---Darby-Translation			EDA	Darby Translation	Darby Translation	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			John Nelson Darby	John Nelson Darby	1871, 1884		eBible.org	https://ebible.org/details.php?id=engDBY			1975925165	1985365596	NULL	P2S24WMBNY0	4Q0KBGX1QK8	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-darby-translation/paperback/product-176879ev.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-darby-translation-new-testament/paperback/product-1gqdwg29.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-darby-translation/hardcover/product-1498kmqg.html	NULL	176879ev	1gqdwg29	1498kmqg	NULL	NULL
Holy-Bible---English---Douay-Rheims-1899			EDO	Douay-Rheims 1899	Douay-Rheims 1899	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			English College at Douai / Catholic Church	English College at Douai in the service of the Catholic Church	1899		eBible.org	https://ebible.org/details.php?id=engDRA			197592519X	1985365669	NULL	0PC45XN766B	0XBBR9Y4GPE	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-douay-rheims-1899/paperback/product-1wk7pvr9.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-douay-rheims-1899-new-testament/paperback/product-124r65w5.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-douay-rheims-1899/hardcover/product-1rzrpe6v.html	NULL	1wk7pvr9	124r65w5	1rzrpe6v	NULL	NULL
Holy-Bible---English---Family-35-NT			F35	Family 35 New Testament	Family 35 New Testament	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Wilbur N. Pickering	Wilbur N. Pickering, ThM, PhD	2016		eBible.org	https://ebible.org/details.php?id=engf35			B092L71CV7	NULL	NULL	E2BCPX6HRFQ	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-family-35-new-testament/paperback/product-en2wg5.html	NULL	NULL	NULL	en2wg5	NULL	NULL	NULL	NULL
Holy-Bible---English---Free-Bible-Version			EFB	Free Bible Version	Free Bible Version	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution ShareAlike 4.0 International, 2018-2026	Creative Commons Attribution ShareAlike 4.0			Dr. Jonathan Gallagher	Dr. Jonathan Gallagher	2018		eBible.org	https://ebible.org/details.php?id=engfbv			B08RR5Y7X9	B08RR9KPSX	NULL	C4JN24AKMBA	E0ABBK9D089	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-free-bible-version/paperback/product-186y2k5y.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-free-bible-version-new-testament/paperback/product-6k4v27.html	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-free-bible-version/hardcover/product-j25ynr.html	NULL	186y2k5y	6k4v27	j25ynr	NULL	NULL
Holy-Bible---English---Geneva-Bible			EGE	Geneva Bible	Geneva Bible	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Miles Coverdale / John Knox / English Scholars exiled to Geneva, Switzerland	Miles Coverdale, John Knox, English Scholars exiled to Geneva, Switzerland	1599		eBible.org	https://ebible.org/details.php?id=enggnv			B0858SL99C	NULL	NULL	81VM59XE1NS	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-geneva-bible/paperback/product-1y5gpnyq.html	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-geneva-bible/hardcover/product-1568zgy2.html	NULL	1y5gpnyq	NULL	1568zgy2	NULL	NULL
Holy-Bible---English---Godbey-Bible			EGB	Godbey New Testament	Godbey New Testament	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			William Baxter Godbey	William Baxter Godbey	1902		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=Godbey			B0DWNJFQK3	NULL	NULL	JCX1YQ6XCPE	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-godbey-new-testament/paperback/product-e75yqqy.html	NULL	NULL	NULL	e75yqqy	NULL	NULL	NULL	NULL
Holy-Bible---English---Gods-Living-Word			EGL	God's Living Word	God's Living Word	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution NoDerivatives 4.0, 2018-2026	Creative Commons Attribution NoDerivatives 4.0			Michael Paul Johnson	Michael Paul Johnson	1996		eBible.org	https://ebible.org/details.php?id=eng-glw			1729731333	NULL	NULL	AA6CDYKB9AD	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-gods-living-word/paperback/product-1z7rpkr5.html	NULL	NULL	NULL	1z7rpkr5	NULL	NULL	NULL	NULL
Holy-Bible---English---Haweis-Bible			EHB	Haweis New Testament	Haweis New Testament	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Thomas Haweis	Rector of All-Saints, Aldwinckle, Northamptonshire	1795		Crosswire.org	https://crosswire.org/sword/modules/ModInfo.jsp?modName=Haweis			B0DWLH8SDJ	NULL	NULL	Y01N6KJXA1B	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-haweis-new-testament/paperback/product-nvz2nek.html	NULL	NULL	NULL	nvz2nek	NULL	NULL	NULL	NULL
Holy-Bible---English---Jewish-Bible			EJB	Jewish Bible in English	Jewish Bible in English	English	English	UK, USA, Canada, Australia, New Zealand				eng	en	en		Creative Commons Attribution 4.0 International, 2018-2026	Public Domain			Jewish Publication Society	Jewish Publication Society	1917		eBible.org	https://ebible.org/details.php?id=engjps			B08BDRJ4TC	NULL	NULL	P8595NMQ844	NULL	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-jewish-bible-in-english/paperback/product-1rzrperv.html	NULL	https://www.lulu.com/shop/nainoia-inc/holy-bible-aionian-edition-jewish-bible-in-english/hardcover/product-nnwzkn.html	NULL	1rzrperv	NULL	nnwzkn	NULL	NULL
