# File Name: IVERSE.txt
# File Size: 1232809     
# File Date: 02/17/2026 10:46:12
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	REF	TEXT
BIBLE	REFERENCE	TEXT
Holy-Bible---French---French-Darby-Bible	EXO-013-017	Exode 13:17	Et il arriva, quand le Pharaon laissa aller le peuple, que Dieu ne les conduisit pas par le chemin du pays des Philistins, qui est pourtant proche; car Dieu dit: De peur que le peuple ne se repente lorsqu’ils verront la guerre, et qu’ils ne retournent en Égypte.
Holy-Bible---French---French-Darby-Bible	MAR-010-045	Marc 10:45	Car aussi le fils de l’homme n’est pas venu pour être servi, mais pour servir et pour donner sa vie en rançon pour plusieurs.
Holy-Bible---French---French-Darby-Bible	ROM-001-001	Romains 1:1	Paul, esclave de Jésus Christ, apôtre appelé, mis à part pour l’évangile de Dieu
Holy-Bible---French---French-Darby-Bible	MAT-028-019	Matthieu 28:19	Allez donc, et faites disciples toutes les nations, les baptisant pour le nom du Père et du Fils et du Saint Esprit,
Holy-Bible---French---French-Khan-Bible	JOH-003-016		
Holy-Bible---French---French-Khan-Bible	GEN-003-024	Genèse 3:24	Ayant chassé l’homme, il posta en avant du jardin d’Éden les chérubins, avec la lame de l’épée flamboyante, pour garder les abords de l’arbre de vie.
Holy-Bible---French---French-Khan-Bible	LUK-023-034		
Holy-Bible---French---French-Khan-Bible	REV-021-002		 
Holy-Bible---French---French-Khan-Bible	HEB-011-008		
Holy-Bible---French---French-Khan-Bible	EXO-013-017	Exode 13:17	Or, lorsque Pharaon eut laissé partir le peuple, Dieu ne les dirigea point par le pays des Philistins, lequel est rapproché parce que Dieu disait: "Le peuple pourrait se raviser à la vue de la guerre et retourner en Égypte."
Holy-Bible---French---French-Khan-Bible	MAR-010-045		
Holy-Bible---French---French-Khan-Bible	ROM-001-001		
Holy-Bible---French---French-Khan-Bible	MAT-028-019		
Holy-Bible---French---French-LXX	JOH-003-016		
Holy-Bible---French---French-LXX	GEN-003-024	Genèse 3:24	Il bannit Adam; il l'établit à l'opposé du paradis de délices, et il plaça des chérubins, armés d'épées flamboyantes qu'ils faisaient tournoyer, pour garder le chemin de l'arbre de vie.
Holy-Bible---French---French-LXX	LUK-023-034		
Holy-Bible---French---French-LXX	REV-021-002		 
Holy-Bible---French---French-LXX	HEB-011-008		
Holy-Bible---French---French-LXX	EXO-013-017	Exode 13:17	Or, lorsque le Pharaon eut congédié le peuple, Dieu ne montra pas aux fils d'Israël la route qui passe par la terre des Philistins, quoique ce fût la plus courte. Car, dit le Seigneur, prenons garde que le peuple ne se repente, en prévoyant des combats, et qu'il ne retourne en Égypte.
Holy-Bible---French---French-LXX	MAR-010-045		
Holy-Bible---French---French-LXX	ROM-001-001		
Holy-Bible---French---French-LXX	MAT-028-019		
Holy-Bible---French---French-LXX-TheoTex	JOH-003-016		
Holy-Bible---French---French-LXX-TheoTex	GEN-003-024	Genèse 3:24	Il bannit Adam; il l’établit à l’opposé du paradis de délices, et il plaça des chérubins, armés d’épées flamboyantes qu’ils faisaient tournoyer, pour garder le chemin de l’arbre de vie.
Holy-Bible---French---French-LXX-TheoTex	LUK-023-034		
Holy-Bible---French---French-LXX-TheoTex	REV-021-002		 
Holy-Bible---French---French-LXX-TheoTex	HEB-011-008		
Holy-Bible---French---French-LXX-TheoTex	EXO-013-017	Exode 13:17	Or, lorsque le Pharaon eut congédié le peuple, Dieu ne montra pas aux fils d’Israël la route qui passe par la terre des Philistins, quoique ce fût la plus courte. Car, dit le Seigneur, prenons garde que le peuple ne se repente, en prévoyant des combats, et qu’il ne retourne en Égypte.
Holy-Bible---French---French-LXX-TheoTex	MAR-010-045		
Holy-Bible---French---French-LXX-TheoTex	ROM-001-001		
Holy-Bible---French---French-LXX-TheoTex	MAT-028-019		
Holy-Bible---French---French-Louis-Segond-1910-Bible	JOH-003-016	Jean 3:16	Car Dieu a tant aimé le monde qu’il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu’il ait la vie éternelle.
Holy-Bible---French---French-Louis-Segond-1910-Bible	GEN-003-024	Genèse 3:24	C’est ainsi qu’il chassa Adam; et il mit à l’orient du jardin d’Éden les chérubins qui agitent une épée flamboyante, pour garder le chemin de l’arbre de vie.
Holy-Bible---French---French-Louis-Segond-1910-Bible	LUK-023-034	Luc 23:34	Jésus dit: Père, pardonne-leur, car ils ne savent ce qu’ils font. Ils se partagèrent ses vêtements, en tirant au sort.
Holy-Bible---French---French-Louis-Segond-1910-Bible	REV-021-002	Apocalypse 21:2-3	Et je vis descendre du ciel, d’auprès de Dieu, la ville sainte, la nouvelle Jérusalem, préparée comme une épouse qui s’est parée pour son époux. Et j’entendis du trône une forte voix qui disait: Voici le tabernacle de Dieu avec les hommes! Il habitera avec eux, et ils seront son peuple, et Dieu lui-même sera avec eux.
Holy-Bible---French---French-Louis-Segond-1910-Bible	HEB-011-008	Hébreux 11:8	C’est par la foi qu’Abraham, lors de sa vocation, obéit et partit pour un lieu qu’il devait recevoir en héritage, et qu’il partit sans savoir où il allait.
Holy-Bible---French---French-Louis-Segond-1910-Bible	EXO-013-017	Exode 13:17	Lorsque Pharaon laissa aller le peuple, Dieu ne le conduisit point par le chemin du pays des Philistins, quoique le plus proche; car Dieu dit: Le peuple pourrait se repentir en voyant la guerre, et retourner en Égypte.
Holy-Bible---French---French-Louis-Segond-1910-Bible	MAR-010-045	Marc 10:45	Car le Fils de l’homme est venu, non pour être servi, mais pour servir etdonner sa vie comme la rançon de plusieurs.
Holy-Bible---French---French-Louis-Segond-1910-Bible	ROM-001-001	Romains 1:1	Paul, serviteur de Jésus-Christ, appelé à être apôtre, mis à part pour annoncer l’Évangile de Dieu,
Holy-Bible---French---French-Louis-Segond-1910-Bible	MAT-028-019	Matthieu 28:19	Allez, faites de toutes les nations des disciples, les baptisant au nom du Père, du Fils et du Saint-Esprit,
Holy-Bible---French---French-Martin	JOH-003-016	Jean 3:16	Car Dieu a tant aimé le monde, qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu'il ait la vie éternelle.
Holy-Bible---French---French-Martin	GEN-003-024	Genèse 3:24	Ainsi il chassa l'homme, et mit des Chérubins vers l'Orient du jardin d'Héden, avec une lame d'épée qui se tournait çà et là, pour garder le chemin de l'arbre de vie.
Holy-Bible---French---French-Martin	LUK-023-034	Luc 23:34	Mais Jésus disait: Père, pardonne-leur, car ils ne savent ce qu'ils font. Ils firent ensuite le partage de ses vêtements, et ils les jetèrent au sort.
Holy-Bible---French---French-Martin	REV-021-002	Apocalypse 21:2-3	Et moi, Jean, je vis la sainte Cité, la nouvelle Jérusalem, qui descendait du Ciel, de devers Dieu, parée comme une épouse qui s'est ornée pour son mari. Et j'entendis une grande voix du ciel, disant: voici le Tabernacle de Dieu avec les hommes, et il habitera avec eux; et ils seront son peuple, et Dieu lui-même sera leur Dieu, [et il sera] avec eux.
Holy-Bible---French---French-Martin	HEB-011-008	Hébreux 11:8	Par la foi Abraham étant appelé, obéit, pour aller en la terre, qu'il devait recevoir en héritage, et il partit sans savoir où il allait.
Holy-Bible---French---French-Martin	EXO-013-017	Exode 13:17	Or quand Pharaon eut laissé aller le peuple, Dieu ne les conduisit point par le chemin du pays des Philistins, quoi qu'il fût le plus court; car Dieu disait: c'est afin qu'il n'arrive que le peuple se repente quand il verra la guerre, et qu'il ne retourne en Egypte.
Holy-Bible---French---French-Martin	MAR-010-045	Marc 10:45	Car aussi le Fils de l'homme n'est pas venu pour être servi, mais pour servir, et pour donner sa vie en rançon pour plusieurs.
Holy-Bible---French---French-Martin	ROM-001-001	Romains 1:1	Paul serviteur de Jésus-Christ, appelé [à être] Apôtre, mis à part pour [annoncer] l'Evangile de Dieu.
Holy-Bible---French---French-Martin	MAT-028-019	Matthieu 28:19	Allez donc, et enseignez toutes les nations, les baptisant au Nom du Père, et du Fils, et du Saint-Esprit;
Holy-Bible---French---French-Oltramare-Bible	JOH-003-016	Jean 3:16	En effet, Dieu a tant aimé le monde, qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu'il ait la vie éternelle.
Holy-Bible---French---French-Oltramare-Bible	GEN-003-024		
Holy-Bible---French---French-Oltramare-Bible	LUK-023-034	Luc 23:34	et Jésus dit: «Père, pardonne-leur, car ils ne savent ce qu'ils font.» Ils se partagèrent ses vêtements en les tirant au sort.
Holy-Bible---French---French-Oltramare-Bible	REV-021-002	Apocalypse 21:2-3	Et je vis descendre du ciel, d'auprès de Dieu, la ville sainte, une Jérusalem nouvelle, prête comme une épouse qui s'est parée pour son époux. Et j'entendis une voix forte qui venait du ciel, et qui disait: «Voici le tabernacle de Dieu, qui va être dressé au milieu des hommes: il habitera avec eux, et ils seront son peuple, et Dieu même sera avec eux comme leur Dieu.
Holy-Bible---French---French-Oltramare-Bible	HEB-011-008	Hébreux 11:8	C'est par la foi qu'Abraham, l'appelé, obéit à l'ordre de se rendre dans le pays qu'il devait recevoir en héritage, et partit sans savoir où il allait.
Holy-Bible---French---French-Oltramare-Bible	EXO-013-017		
Holy-Bible---French---French-Oltramare-Bible	MAR-010-045	Marc 10:45	Car le Fils de l'homme est venu, non pour être servi, mais pour servir et donner sa vie pour la rançon de beaucoup.»
Holy-Bible---French---French-Oltramare-Bible	ROM-001-001	Romains 1:1	Paul, serviteur de Jésus-Christ, élu apôtre, choisi pour annoncer l'évangile de Dieu
Holy-Bible---French---French-Oltramare-Bible	MAT-028-019	Matthieu 28:19	Allez, instruisez toutes les nations, baptisez-les au nom du Père, du Fils et du Saint-Esprit,
Holy-Bible---French---French-Ostervald-Bible	JOH-003-016	Jean 3:16	Car Dieu a tant aimé le monde, qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu'il ait la vie éternelle.
Holy-Bible---French---French-Ostervald-Bible	GEN-003-024	Genèse 3:24	Il chassa donc l'homme; et il plaça à l'orient du jardin d'Éden les chérubins et la lame d'épée flamboyante, pour garder le chemin de l'arbre de vie.
Holy-Bible---French---French-Ostervald-Bible	LUK-023-034	Luc 23:34	Mais Jésus disait: Père, pardonne-leur, car ils ne savent ce qu'ils font. Puis se partageant ses vêtements, ils les tirèrent au sort.
Holy-Bible---French---French-Ostervald-Bible	REV-021-002	Apocalypse 21:2-3	Et moi Jean je vis la sainte cité, la nouvelle Jérusalem, qui descendait du ciel d'auprès de Dieu, préparée comme une nouvelle mariée qui s'est ornée pour son époux. Et j'entendis une grande voix du ciel, qui disait: Voici le tabernacle de Dieu avec les hommes, et il habitera avec eux; ils seront son peuple, et Dieu sera lui-même avec eux, il sera leur Dieu.
Holy-Bible---French---French-Ostervald-Bible	HEB-011-008	Hébreux 11:8	Par la foi, Abraham, étant appelé, obéit, pour aller au pays qu'il devait recevoir en héritage, et partit, ne sachant où il allait.
Holy-Bible---French---French-Ostervald-Bible	EXO-013-017	Exode 13:17	Or, quand Pharaon eut laissé aller le peuple, Dieu ne les conduisit point par le chemin du pays des Philistins, qui est le plus proche; car Dieu dit: Il est à craindre que le peuple ne se repente, quand il verra la guerre, et qu'il ne retourne en Égypte.
Holy-Bible---French---French-Ostervald-Bible	MAR-010-045	Marc 10:45	Car le Fils de l'homme est venu, non pour être servi, mais pour servir et pour donner sa vie en rançon pour plusieurs.
Holy-Bible---French---French-Ostervald-Bible	ROM-001-001	Romains 1:1	Paul, serviteur de Jésus-Christ, appelé à être apôtre, mis à part pour annoncer l'Évangile de Dieu,
Holy-Bible---French---French-Ostervald-Bible	MAT-028-019	Matthieu 28:19	Allez donc et instruisez toutes les nations, les baptisant au nom du Père, du Fils et du Saint-Esprit,
Holy-Bible---French---French-Perret-Gentil-Rilliet	JOH-003-016	Jean 3:16	En effet Dieu a tant aimé le monde qu'il a donné Son Fils unique, afin que quiconque croit en lui ne périsse point, mais ait la vie éternelle;
Holy-Bible---French---French-Perret-Gentil-Rilliet	GEN-003-024	Genèse 3:24	et Il bannit l'homme et posta à l'orient du jardin d'Eden les Chérubins armés de la flamme de l'épée agitée pour garder le chemin de l'arbre de vie.
Holy-Bible---French---French-Perret-Gentil-Rilliet	LUK-023-034	Luc 23:34	Or se partageant ses vêtements, ils tirèrent au sort.
Holy-Bible---French---French-Perret-Gentil-Rilliet	REV-021-002	Apocalypse 21:2-3	Et je vis la ville sainte, Jérusalem nouvelle, descendant du ciel d'auprès de Dieu, préparée comme une épouse qui s'est faite belle pour son mari, et j'entendis sortir du trône une voix forte qui disait: «Voici le tabernacle de Dieu dressé parmi les hommes, Et Il habitera avec eux, et ils seront Ses peuples, Et Dieu Lui-même sera avec eux comme leur Dieu,
Holy-Bible---French---French-Perret-Gentil-Rilliet	HEB-011-008	Hébreux 11:8	C'est par la foi que celui qui est appelé Abraham se soumit à émigrer dans le pays qu'il devait recevoir en héritage, et il émigra sans savoir où il allait;
Holy-Bible---French---French-Perret-Gentil-Rilliet	EXO-013-017	Exode 13:17	Et lorsque Pharaon eut laissé partir le peuple, Dieu ne les conduisit pas par le chemin du pays des Philistins, parce que c'était le plus direct; car Dieu dit: Le peuple pourrait avoir du regret à la vue du combat et retourner en Egypte.
Holy-Bible---French---French-Perret-Gentil-Rilliet	MAR-010-045	Marc 10:45	En effet le fils de l'homme non plus n'est pas venu pour être servi, mais pour servir et pour donner sa vie comme une rançon pour plusieurs.»
Holy-Bible---French---French-Perret-Gentil-Rilliet	ROM-001-001	Romains 1:1	Paul, — esclave de Jésus-Christ, appelé à être apôtre, mis à part pour l'évangile de Dieu
Holy-Bible---French---French-Perret-Gentil-Rilliet	MAT-028-019	Matthieu 28:19	Allez donc instruire toutes les nations, après les avoir baptisées au nom du Père et du Fils et du Saint-Esprit,
Holy-Bible---French---French-Stapfer-Bible	JOH-003-016	Jean 3:16	«Dieu, en effet, a tant aimé le monde qu'il a donné son Fils unique afin que quiconque croit en lui ne périsse point, mais qu'il ait la vie éternelle.
Holy-Bible---French---French-Stapfer-Bible	GEN-003-024		
Holy-Bible---French---French-Stapfer-Bible	LUK-023-034	Luc 23:34	Jésus disait: «Père! pardonne-leur, car ils ne savent ce qu'ils font!» Ses vêtements furent partagés après avoir été tirés au sort.
Holy-Bible---French---French-Stapfer-Bible	REV-021-002	Apocalypse 21:2-3	Et je vis la cité sainte, la Jérusalem nouvelle descendre du ciel d'auprès de Dieu, vêtue comme une fiancée parée pour son époux. Et j'entendis une grande voix qui sortait du trône, disant: «Voici le tabernacle de Dieu avec les hommes! et il habitera avec eux; et «les hommes seront son peuple, et Dieu lui-même sera avec eux»,
Holy-Bible---French---French-Stapfer-Bible	HEB-011-008	Hébreux 11:8	C'est par la foi qu'Abraham, appelé à partir pour le pays qu'il devait recevoir en héritage, obéit, et il partit sans savoir où il allait.
Holy-Bible---French---French-Stapfer-Bible	EXO-013-017		
Holy-Bible---French---French-Stapfer-Bible	MAR-010-045	Marc 10:45	Car le Fils de l'homme n'est pas venu pour être servi, mais pour servir et donner sa vie comme rançon pour plusieurs.»
Holy-Bible---French---French-Stapfer-Bible	ROM-001-001	Romains 1:1	Paul, serviteur de Jésus-Christ, élu apôtre choisi pour prêcher l'évangile de Dieu,
Holy-Bible---French---French-Stapfer-Bible	MAT-028-019	Matthieu 28:19	allez faire de toutes les nations mes disciples, les baptisant au nom du Père, et du Fils, et du saint Esprit
Holy-Bible---French---French-Synodale-Bible	JOH-003-016	Jean 3:16	Car Dieu a tellement aimé le monde, qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu'il ait la vie éternelle.
Holy-Bible---French---French-Synodale-Bible	GEN-003-024		
Holy-Bible---French---French-Synodale-Bible	LUK-023-034	Luc 23:34	Mais Jésus disait: Père, pardonne-leur; car ils ne savent ce qu'ils font. Puis, ils se partagèrent ses vêtements, en les tirant au sort.
Holy-Bible---French---French-Synodale-Bible	REV-021-002	Apocalypse 21:2-3	Je vis aussi la cité sainte, la Jérusalem nouvelle, qui descendait du ciel, d'auprès de Dieu, prête comme une épouse qui s'est parée pour son époux. Et j'entendis une voix forte qui venait du trône, et qui disait: Voici le Tabernacle de Dieu au milieu des hommes! Il habitera avec eux, et ils seront son peuple; Dieu lui-même sera avec eux.
Holy-Bible---French---French-Synodale-Bible	HEB-011-008	Hébreux 11:8	C'est par la foi qu'Abraham obéit à l'appel de Dieu et partit pour le pays qu'il devait recevoir en héritage: il partit, sans savoir où il allait.
Holy-Bible---French---French-Synodale-Bible	EXO-013-017		
Holy-Bible---French---French-Synodale-Bible	MAR-010-045	Marc 10:45	Car le Fils de l'homme est venu, non pour être servi, mais pour servir, et donner sa vie pour la rançon de plusieurs.
Holy-Bible---French---French-Synodale-Bible	ROM-001-001	Romains 1:1	Paul, serviteur de Jésus-Christ, appelé à être apôtre, mis à part pour annoncer l'Évangile de Dieu,
Holy-Bible---French---French-Synodale-Bible	MAT-028-019	Matthieu 28:19	Allez donc, enseignez toutes les nations, en les baptisant au nom du Père, du Fils et du Saint-Esprit,
Holy-Bible---French---Geneva-Bible	JOH-003-016	Jean 3:16	Car Dieu a tellement aimé le monde, qu’il a donné ſon Fils unique, afin que quiconque croit en lui ne periſſe point, mais qu’il ait la vie eternelle.
Holy-Bible---French---Geneva-Bible	GEN-003-024		
Holy-Bible---French---Geneva-Bible	LUK-023-034	Luc 23:34	Mais Jeſus diſoit, Pere, pardonne leur: car ils ne ſçavent ce qu’ils font. Puis faiſant le partage de ſes habillemens, ils jetterent le ſort.
Holy-Bible---French---Geneva-Bible	REV-021-002	Apocalypse 21:2-3	Et moi Jean vis la ſainte Cité, la Jeruſalem nouvelle, deſcendant du ciel, de par Dieu, parée comme une eſpouſe ornée pour ſon mari. Et j’oüis une grande voix du ciel, diſant, Voici le tabernacle de Dieu avec les hommes, il habitera avec eux, ils ſeront ſon peuple, Dieu lui-meſme ſera leur Dieu avec eux.
Holy-Bible---French---Geneva-Bible	HEB-011-008	Hébreux 11:8	Par la foi Abraham eſtant appellé, obeït, pour venir au lieu qu’il devoit recevoir en heritage, partit, ne ſçachant où il alloit.
Holy-Bible---French---Geneva-Bible	EXO-013-017		
Holy-Bible---French---Geneva-Bible	MAR-010-045	Marc 10:45	Car auſſi le Fils de l’homme n’eſt point venu pour eſtre ſervi: mais pour ſervir, donner ſa vie en rançon pour pluſieurs.
Holy-Bible---French---Geneva-Bible	ROM-001-001	Romains 1:1	PAUL ſerviteur de Jeſus Chriſt, appellé à eſtre Apoſtre, mis à part, pour annoncer l’Evangile de Dieu.
Holy-Bible---French---Geneva-Bible	MAT-028-019	Matthieu 28:19	Allez donc, endoctrinez toutes nations, les baptiſans au nom du Pere, du Fils, du ſaint Eſprit.
Holy-Bible---French---Vulgate-Glaire	JOH-003-016	Jean 3:16	Car Dieu a tellement aimé le monde, qu’il a donné son Fils unique, afin que quiconque croit en lui ne périsse point, mais qu’il ait la vie éternelle.
Holy-Bible---French---Vulgate-Glaire	GEN-003-024	Genèse 3:24	Il renvoya donc Adam, et il plaça à l’entrée du jardin de délices les Chérubins avec un glaive flamboyant qu’ils brandissaient, pour garder la voie de l’arbre de la vie.
Holy-Bible---French---Vulgate-Glaire	LUK-023-034	Luc 23:34	Mais Jésus disait: Mon Père, pardonnez-leur, car ils ne savent ce qu’ils font. Partageant ensuite ses vêtements, ils y jetèrent le sort.
Holy-Bible---French---Vulgate-Glaire	REV-021-002	Apocalypse 21:2-3	Et moi, Jean, je vis la sainte cité, la nouvelle Jérusalem, descendant du ciel, d’auprès de Dieu, parée comme une épouse et ornée pour son époux. Et j’entendis une voix forte sortie du trône, disant: Voici le tabernacle de Dieu avec les hommes, et il demeurera avec eux. Et eux seront son peuple, et lui-même, Dieu, au milieu d’eux, sera leur Dieu.
Holy-Bible---French---Vulgate-Glaire	HEB-011-008	Hébreux 11:8	C’est par la foi que celui qui est appelé Abraham obéit et partit sans savoir où il allait.
Holy-Bible---French---Vulgate-Glaire	EXO-013-017	Exode 13:17	Or, quand Pharaon eut laissé aller le peuple. Dieu ne les conduisit point par le chemin de la terre des Philistins qui est voisine, pensant que peut-être il se repentirait, s’il voyait des guerres s’élever contre lui, et qu’il retournerait en Égypte.
Holy-Bible---French---Vulgate-Glaire	MAR-010-045	Marc 10:45	Car le Fils de l’homme même n’est pas venu pour être servi, mais pour servir, et donner sa vie pour la rédemption d’un grand nombre.
Holy-Bible---French---Vulgate-Glaire	ROM-001-001	Romains 1:1	Paul, serviteur de Jésus-Christ, appelé à l’apostolat, choisi pour l’Évangile de Dieu,
Holy-Bible---French---Vulgate-Glaire	MAT-028-019	Matthieu 28:19	Allez donc, enseignez toutes les nations, les baptisant au nom du Père, et du Fils, et du Saint-Esprit;
Holy-Bible---Gamit---Gamit-Bible	JOH-003-016	યોહાન 3:16	“પોરમેહેરે દુનિયા લોકહાવોય ઓહડા મહાન પ્રેમ કોઅયા, યા લીદે ચ્યા યોકને-યોક પોહાલ બલિદાન કોઇ દેનો, યાહાટી કા જીં કાદાં માઅહું ચ્ચાવોય બોરહો કોઅહે, ચ્યા નાશ નાંય ઓઅય, બાકી ચ્યાલ અનંતજીવન મીળે.
Holy-Bible---Gamit---Gamit-Bible	GEN-003-024		
Holy-Bible---Gamit---Gamit-Bible	LUK-023-034	લુક 23:34	તોવે ઈસુવે આખ્યાં, “આબા, ચ્યાહાન માફ કોઓ, કાહાકા ચ્યા કાય કોઅતા ચ્યા જાંએત નાંય” ચ્યા ફાડકે વાટી લા હાટી ચ્યાહાય ચિઠ્ઠી ટાકી.
Holy-Bible---Gamit---Gamit-Bible	REV-021-002	પ્રકટીકરણ 21:2-3	માયે પવિત્ર શેહેરાલ બી દેખ્યા, જીં નોવા યેરૂસાલેમ હેય, તી હોરગામાઅને પોરમેહેરાપાઅને નિચે યેય રીઅલા આતા, ચ્યા શેહેરાલ યોક વોવડી હારકા તિયાર કોઅલા આતા, જ્યેલ ડોગલેં પોવાડલે ગીયે, એને સોબા કોઅલી ગીયી, એને જીં વોવડાઆરે વોરાડ કોઅરાહાટી તિયાર હેય. પાછે માયે પોરમેહેરા રાજગાદી પાયને કાદાલતેરુ જોરખે ઈ આખતા વોનાયો, “એએ, પોરમેહેર પોતાના લોકહા વોચ્ચે વોહતી કોઅરી, એને પોરમેહેર પોતે ચ્યાહાઆરે રોયન ચ્યાહા પોરમેહેર ઓઅરી.
Holy-Bible---Gamit---Gamit-Bible	HEB-011-008	હિબ્રુઓને 11:8	બોરહો કોઅના લીદેજ આબ્રાહામ નાંવા માઅહું પોરમેહેરાય ચ્યાલ યોકે જાગે જાંહાટી હાદ્યો, આગના માનીન તો ચ્યા જાગાએસે નિંગી ગીયો જ્યાલ પોરમેહેર ચ્યાલ વારસામાય દેનારો આતો. આબ્રાહામ ઈ નાંય જાંઅતો આતો, કા કેછ જાતહાવ, તેરુંબી તો ચ્યે જાગે જાંહાટી નિકળ્યો.
Holy-Bible---Gamit---Gamit-Bible	EXO-013-017		
Holy-Bible---Gamit---Gamit-Bible	MAR-010-045	માર્ક 10:45	આંય એહેકેન યાહાટી આખહુ કા આંય, માઅહા પોહો, બીજહા સેવા કોઅરાહાટી યા દુનિયામાય યેનો, આંય યાહાટી નાંય યેનો કા બીજે મા સેવા કોએ, આંય બોજ લોકહાન ચ્યાહા પાપાહામાઅને છોડાવાહાટી પોતાનો જીવ દાં યેનો.”
Holy-Bible---Gamit---Gamit-Bible	ROM-001-001	રોમનોને 1:1	આંય પાઉલ ઈસુ ખ્રિસ્તા સેવક હેતાંવ, એને માન પ્રેષિત ઓરાહાટી પોરમેહેરાય પોસંદ કોઅલો હેય, એને પોરમેહેરાય ચ્યા હારી ખોબાર આખાહાટી માન નિવાડલો હેય.
Holy-Bible---Gamit---Gamit-Bible	MAT-028-019	માથ્થી 28:19	યાહાટી તુમા જાં, બોદી જાત્યે લોકહાન શિષ્ય બોનાડા, એને પિતા, એને પુત્ર, એને પવિત્ર આત્મા નાવાકોય ચ્યાહાન બાપતિસ્મા દા,
Holy-Bible---Gamo---Gamo-Bible	JOH-003-016	ዮሃኒሳ ሚሺራቾ 3:16	ጾሳ ና ኣማኒዛይ ዉሪ ሜርና ዴኦ ዴማናፔ ኣቲን ꬋዮንታ ማላ ጾሲ ሃይሳ ኣላሜዛ ዳሮ ሲቂዳ ጊሻስ ባ ሜጺ ኢሲ ናዛ ኢሚዴስ።
Holy-Bible---Gamo---Gamo-Bible	GEN-003-024	ሜꬌቴꬃ ማጻፋ 3:24	ኢዛ ኬሲዲ፥ ዴኦ ሚꬃኮ ኤፊዛ ኦጌ ናጋና ማላ፥ ኪሩቤ ጌቴቲዛ ኪታንቻታኔ ፖፖልኡ ጊ ኣꬊ ኣꬊ ዎꬊዛ ታማ ላጮ ሚሳቲዛ ጊꬃ ማሻ ኤዴኔፔ ኣርሼይ ሞኪዛ ባጋራ ዎꬂዴስ።
Holy-Bible---Gamo---Gamo-Bible	LUK-023-034	ሉቃሳ ሚሺራቾ 23:34	ዬሱሲካ፥ «ታ ኣዋዉ! ሃይቲ ባ ኦꬂዛይሳ ኤሪዲ ኦꬆንታ ጊሻስ ኢስታስ ኣቶ ጋ!» ጊዴስ፤ ኢስቲካ ኢዛ ማይኦዛ ሳማ ዬጊዲ ባ ጊዶን ጊሼቲ ኤኪዳ።
Holy-Bible---Gamo---Gamo-Bible	REV-021-002	ዮሃኒሳ ኣጁታ 21:2-3	ጌሻ ካታማያ ኦራꬃ ዬሩሳላሜይ ባ ኣዚናስ ጊጌቲዳ ሚሺራ ማላ ሎኣ ጊጌታዳ ሳሎ ጾሳ ኣቻፌ ዎꬊሺን ታኒ ቤያዲስ። ኣልጋዛፔ፥ «ሄኮ ጾሳ ኣቆሶይ ኣሳራ ዴስ፤ ኢዚ ኢስታራ ዳና፤ ኢስቲካ ኢዛ ዴሬታ ጊዳና፤ ጾሲ ባ ቦንቾን ኢስታራ ኢሲፌ ጊዳና፤ ኢዚ ኢስታ ጾስ ጊዳና።
Holy-Bible---Gamo---Gamo-Bible	HEB-011-008	ኢብራዌ ኣሳስ 11:8	ኣብራሃሜይ ባስ ላታ ቢታ ኤካናስ ጼይጌቲዳ ዎዴ ኣማኖን ኣዛዜቲዴስ፤ ኣዋ ቢዛኮ ኤሮንታ ኣጊኮካ ኤሮ ጊዲ ቢዴስ።
Holy-Bible---Gamo---Gamo-Bible	EXO-013-017	ኬሳ ማጻፋ 13:17	ካዎይ ኣሳ ዬዲዳ ዎዴ ጾሲ ኢስታ ፊሊስጼሜ ቢታራ ካንꬂሲዛ ኦጌይ ማታ ሺን ሄ ኦጌዛራ ኤፊቤና፤ ጋሶይካ ጾሲ፥ «ኣሳይ ኦላ ቤይኮ ባ ቆፋ ላሚዲ ጉዬ ጊብጼ ሲማናኮ» ጊዲ ቆፒዴስ።
Holy-Bible---Gamo---Gamo-Bible	MAR-010-045	ማርቆሳ ሚሺራቾ 10:45	ኣሳ ናይ ጊዲኮ ኣሳስ ኦꬃናሲኔ ባ ሼምፖ ዳሮታ ጊሻስ ኣꬂ ኢማናስ ዪዴስ ኣቲን ኣሴ ኦሲሳናስ ዪቤና» ጊዴስ።
Holy-Bible---Gamo---Gamo-Bible	ROM-001-001	ኦሮሜ ኣሳስ 1:1	ዬሱስ ኪርስቶሳ ኣይሌኔ ሃዋሬ ጊዳናስ ጼይጌቲዳ ሚሺራቾ ቃላ ዮታናስ ጳዉሎሳፔ ኪቴቲዳ ኪታ።
