# File Name: RAWCHECK.txt
# File Size: 4696076     
# File Date: 08/31/2026 07:39:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	RAWFIX	TEXT	ORIGINAL
Holy-Bible---English---Aionian-Bible	026	EZE	008	018	MODIFY	Therefore I will also deal in wrath. My eye will not spare, neither will I have pity. Though they cry in my ears with a loud voice, yet I will not hear them.”	Therefore I will also deal in wrath. My eye won’t spare, neither will I have pity. Though they cry in my ears with a loud voice, yet I will not hear them.”
Holy-Bible---English---Aionian-Bible	026	EZE	009	005	MODIFY	To the others he said in my hearing, “Go through the city after him, and strike. Do not let your eye spare, neither have pity.	To the others he said in my hearing, “Go through the city after him, and strike. Don’t let your eye spare, neither have pity.
Holy-Bible---English---Aionian-Bible	026	EZE	009	006	MODIFY	Kill utterly the old man, the young man, the virgin, little children and women; but do not come near any man on whom is the mark. Begin at my sanctuary.” Then they began at the old men who were before the house.	Kill utterly the old man, the young man, the virgin, little children and women; but don’t come near any man on whom is the mark. Begin at my sanctuary.” Then they began at the old men who were before the house.
Holy-Bible---English---Aionian-Bible	026	EZE	009	009	MODIFY	Then he said to me, “The iniquity of the house of Israel and Judah is exceedingly great, and the land is full of blood, and the city full of perversion; for they say, ‘The LORD has forsaken the land, and the LORD does not see.’	Then he said to me, “The iniquity of the house of Israel and Judah is exceedingly great, and the land is full of blood, and the city full of perversion; for they say, ‘The LORD has forsaken the land, and the LORD doesn’t see.’
Holy-Bible---English---Aionian-Bible	026	EZE	009	010	MODIFY	As for me also, my eye will not spare, neither will I have pity, but I will bring their way on their head.”	As for me also, my eye won’t spare, neither will I have pity, but I will bring their way on their head.”
Holy-Bible---English---Aionian-Bible	026	EZE	010	011	MODIFY	When they went, they went in their four directions. They did not turn as they went, but to the place where the head looked they followed it. They did not turn as they went.	When they went, they went in their four directions. They didn’t turn as they went, but to the place where the head looked they followed it. They didn’t turn as they went.
Holy-Bible---English---Aionian-Bible	026	EZE	010	016	MODIFY	When the cherubim went, the wheels went beside them; and when the cherubim lifted up their wings to mount up from the earth, the wheels also did not turn from beside them.	When the cherubim went, the wheels went beside them; and when the cherubim lifted up their wings to mount up from the earth, the wheels also didn’t turn from beside them.
Holy-Bible---English---Aionian-Bible	026	EZE	012	002	MODIFY	“Son of man, you dwell in the middle of the rebellious house, who have eyes to see, and do not see, who have ears to hear, and do not hear; for they are a rebellious house.	“Son of man, you dwell in the middle of the rebellious house, who have eyes to see, and don’t see, who have ears to hear, and don’t hear; for they are a rebellious house.
Holy-Bible---English---Aionian-Bible	026	EZE	012	006	MODIFY	In their sight you shall bear it on your shoulder, and carry it out in the dark. You shall cover your face, so that you do not see the land, for I have set you for a sign to the house of Israel.”	In their sight you shall bear it on your shoulder, and carry it out in the dark. You shall cover your face, so that you don’t see the land, for I have set you for a sign to the house of Israel.”
Holy-Bible---English---Aionian-Bible	026	EZE	012	009	MODIFY	“Son of man, has not the house of Israel, the rebellious house, said to you, ‘What are you doing?’	“Son of man, hasn’t the house of Israel, the rebellious house, said to you, ‘What are you doing?’
Holy-Bible---English---Aionian-Bible	026	EZE	013	007	MODIFY	Have not you seen a false vision, and have not you spoken a lying divination, in that you say, ‘The LORD says;’ but I have not spoken?”	Haven’t you seen a false vision, and haven’t you spoken a lying divination, in that you say, ‘The LORD says;’ but I have not spoken?”
Holy-Bible---English---Aionian-Bible	026	EZE	013	012	MODIFY	Behold, when the wall has fallen, will not it be said to you, “Where is the plaster with which you have plastered it?”	Behold, when the wall has fallen, won’t it be said to you, “Where is the plaster with which you have plastered it?”
Holy-Bible---English---Aionian-Bible	026	EZE	016	004	MODIFY	As for your birth, in the day you were born your navel was not cut. You were not washed in water to cleanse you. You were not salted at all, nor wrapped in blankets at all.	As for your birth, in the day you were born your navel was not cut. You weren’t washed in water to cleanse you. You weren’t salted at all, nor wrapped in blankets at all.
Holy-Bible---English---Aionian-Bible	026	EZE	016	016	MODIFY	You took some of your garments, and made for yourselves high places decked with various colors, and played the prostitute on them. This should not happen, neither shall it be.	You took some of your garments, and made for yourselves high places decked with various colors, and played the prostitute on them. This shouldn’t happen, neither shall it be.
Holy-Bible---English---Aionian-Bible	026	EZE	016	028	MODIFY	You have played the prostitute also with the Assyrians, because you were insatiable; yes, you have played the prostitute with them, and yet you were not satisfied.	You have played the prostitute also with the Assyrians, because you were insatiable; yes, you have played the prostitute with them, and yet you weren’t satisfied.
Holy-Bible---English---Aionian-Bible	026	EZE	016	029	MODIFY	You have moreover multiplied your prostitution to the land of merchants, to Chaldea; and yet you were not satisfied with this.	You have moreover multiplied your prostitution to the land of merchants, to Chaldea; and yet you weren’t satisfied with this.
Holy-Bible---English---Aionian-Bible	026	EZE	016	049	MODIFY	“‘“Behold, this was the iniquity of your sister Sodom: pride, fullness of bread, and prosperous ease was in her and in her daughters. She also did not strengthen the hand of the poor and needy.	“‘“Behold, this was the iniquity of your sister Sodom: pride, fullness of bread, and prosperous ease was in her and in her daughters. She also didn’t strengthen the hand of the poor and needy.
Holy-Bible---English---Aionian-Bible	026	EZE	016	051	MODIFY	Samaria has not committed half of your sins; but you have multiplied your abominations more than they, and have justified your sisters by all your abominations which you have done.	Samaria hasn’t committed half of your sins; but you have multiplied your abominations more than they, and have justified your sisters by all your abominations which you have done.
Holy-Bible---English---Aionian-Bible	026	EZE	017	009	MODIFY	“Say, ‘The Lord GOD says: “Will it prosper? Will not he pull up its roots and cut off its fruit, that it may wither, that all its fresh springing leaves may wither? It cannot be raised from its roots by a strong arm or many people.	“Say, ‘The Lord GOD says: “Will it prosper? Won’t he pull up its roots and cut off its fruit, that it may wither, that all its fresh springing leaves may wither? It can’t be raised from its roots by a strong arm or many people.
Holy-Bible---English---Aionian-Bible	026	EZE	017	010	MODIFY	Yes, behold, being planted, will it prosper? Will not it utterly wither when the east wind touches it? It will wither in the ground where it grew.”’”	Yes, behold, being planted, will it prosper? Won’t it utterly wither when the east wind touches it? It will wither in the ground where it grew.”’”
Holy-Bible---English---Aionian-Bible	026	EZE	017	012	MODIFY	“Say now to the rebellious house, ‘Do not you know what these things mean?’ Tell them, ‘Behold, the king of Babylon came to Jerusalem, and took its king, and its princes, and brought them to him to Babylon.	“Say now to the rebellious house, ‘Don’t you know what these things mean?’ Tell them, ‘Behold, the king of Babylon came to Jerusalem, and took its king, and its princes, and brought them to him to Babylon.
Holy-Bible---English---Aionian-Bible	026	EZE	017	017	MODIFY	Pharaoh with his mighty army and great company will not help him in the war, when they cast up mounds and build forts to cut off many persons.	Pharaoh with his mighty army and great company won’t help him in the war, when they cast up mounds and build forts to cut off many persons.
Holy-Bible---English---Aionian-Bible	026	EZE	017	018	MODIFY	For he has despised the oath by breaking the covenant; and behold, he had given his hand, and yet has done all these things. He will not escape.	For he has despised the oath by breaking the covenant; and behold, he had given his hand, and yet has done all these things. He won’t escape.
Holy-Bible---English---Aionian-Bible	026	EZE	018	006	MODIFY	and has not eaten on the mountains, has not lifted up his eyes to the idols of the house of Israel, has not defiled his neighbor’s wife, has not come near a woman in her impurity,	and has not eaten on the mountains, hasn’t lifted up his eyes to the idols of the house of Israel, hasn’t defiled his neighbor’s wife, hasn’t come near a woman in her impurity,
Holy-Bible---English---Aionian-Bible	026	EZE	018	008	MODIFY	he who has not lent to them with interest, has not taken any increase from them, who has withdrawn his hand from iniquity, has executed true justice between man and man,	he who hasn’t lent to them with interest, hasn’t taken any increase from them, who has withdrawn his hand from iniquity, has executed true justice between man and man,
Holy-Bible---English---Aionian-Bible	026	EZE	018	014	MODIFY	“Now, behold, if he fathers a son who sees all his father’s sins which he has done, and fears, and does not do likewise,	“Now, behold, if he fathers a son who sees all his father’s sins which he has done, and fears, and doesn’t do likewise,
Holy-Bible---English---Aionian-Bible	026	EZE	018	015	MODIFY	who has not eaten on the mountains, has not lifted up his eyes to the idols of the house of Israel, has not defiled his neighbor’s wife,	who hasn’t eaten on the mountains, hasn’t lifted up his eyes to the idols of the house of Israel, hasn’t defiled his neighbor’s wife,
Holy-Bible---English---Aionian-Bible	026	EZE	018	016	MODIFY	has not wronged any, has not taken anything to pledge, has not taken by robbery, but has given his bread to the hungry, and has covered the naked with a garment;	hasn’t wronged any, hasn’t taken anything to pledge, hasn’t taken by robbery, but has given his bread to the hungry, and has covered the naked with a garment;
Holy-Bible---English---Aionian-Bible	026	EZE	018	017	MODIFY	who has withdrawn his hand from the poor, who has not received interest or increase, has executed my ordinances, has walked in my statutes; he shall not die for the iniquity of his father. He shall surely live.	who has withdrawn his hand from the poor, who hasn’t received interest or increase, has executed my ordinances, has walked in my statutes; he shall not die for the iniquity of his father. He shall surely live.
Holy-Bible---English---Aionian-Bible	026	EZE	018	019	MODIFY	“Yet you say, ‘Why does not the son bear the iniquity of the father?’ When the son has done that which is lawful and right, and has kept all my statutes, and has done them, he will surely live.	“Yet you say, ‘Why doesn’t the son bear the iniquity of the father?’ When the son has done that which is lawful and right, and has kept all my statutes, and has done them, he will surely live.
Holy-Bible---English---Aionian-Bible	026	EZE	018	025	MODIFY	“Yet you say, ‘The way of the Lord is not equal.’ Hear now, house of Israel: Is my way not equal? Are not your ways unequal?	“Yet you say, ‘The way of the Lord is not equal.’ Hear now, house of Israel: Is my way not equal? Aren’t your ways unequal?
Holy-Bible---English---Aionian-Bible	026	EZE	018	029	MODIFY	Yet the house of Israel says, ‘The way of the Lord is not fair.’ House of Israel, are not my ways fair? Are not your ways unfair?	Yet the house of Israel says, ‘The way of the Lord is not fair.’ House of Israel, aren’t my ways fair? Aren’t your ways unfair?
Holy-Bible---English---Aionian-Bible	026	EZE	020	007	MODIFY	I said to them, ‘Each of you throw away the abominations of his eyes. Do not defile yourselves with the idols of Egypt. I am the LORD your God.’	I said to them, ‘Each of you throw away the abominations of his eyes. Don’t defile yourselves with the idols of Egypt. I am the LORD your God.’
Holy-Bible---English---Aionian-Bible	026	EZE	020	008	MODIFY	“‘“But they rebelled against me and would not listen to me. They did not all throw away the abominations of their eyes. They also did not forsake the idols of Egypt. Then I said I would pour out my wrath on them, to accomplish my anger against them in the middle of the land of Egypt.	“‘“But they rebelled against me and wouldn’t listen to me. They didn’t all throw away the abominations of their eyes. They also didn’t forsake the idols of Egypt. Then I said I would pour out my wrath on them, to accomplish my anger against them in the middle of the land of Egypt.
Holy-Bible---English---Aionian-Bible	026	EZE	020	013	MODIFY	“‘“But the house of Israel rebelled against me in the wilderness. They did not walk in my statutes and they rejected my ordinances, which if a man keeps, he shall live in them. They greatly profaned my Sabbaths. Then I said I would pour out my wrath on them in the wilderness, to consume them.	“‘“But the house of Israel rebelled against me in the wilderness. They didn’t walk in my statutes and they rejected my ordinances, which if a man keeps, he shall live in them. They greatly profaned my Sabbaths. Then I said I would pour out my wrath on them in the wilderness, to consume them.
Holy-Bible---English---Aionian-Bible	026	EZE	020	016	MODIFY	because they rejected my ordinances, and did not walk in my statutes, and profaned my Sabbaths; for their heart went after their idols.	because they rejected my ordinances, and didn’t walk in my statutes, and profaned my Sabbaths; for their heart went after their idols.
Holy-Bible---English---Aionian-Bible	026	EZE	020	017	MODIFY	Nevertheless my eye spared them, and I did not destroy them. I did not make a full end of them in the wilderness.	Nevertheless my eye spared them, and I didn’t destroy them. I didn’t make a full end of them in the wilderness.
Holy-Bible---English---Aionian-Bible	026	EZE	020	018	MODIFY	I said to their children in the wilderness, ‘Do not walk in the statutes of your fathers. Do not observe their ordinances or defile yourselves with their idols.	I said to their children in the wilderness, ‘Don’t walk in the statutes of your fathers. Don’t observe their ordinances or defile yourselves with their idols.
Holy-Bible---English---Aionian-Bible	026	EZE	020	021	MODIFY	“‘“But the children rebelled against me. They did not walk in my statutes, and did not keep my ordinances to do them, which if a man does, he shall live in them. They profaned my Sabbaths. Then I said I would pour out my wrath on them, to accomplish my anger against them in the wilderness.	“‘“But the children rebelled against me. They didn’t walk in my statutes, and didn’t keep my ordinances to do them, which if a man does, he shall live in them. They profaned my Sabbaths. Then I said I would pour out my wrath on them, to accomplish my anger against them in the wilderness.
Holy-Bible---English---Aionian-Bible	026	EZE	020	025	MODIFY	Moreover also I gave them statutes that were not good, and ordinances in which they could not live.	Moreover also I gave them statutes that were not good, and ordinances in which they couldn’t live.
Holy-Bible---English---Aionian-Bible	026	EZE	020	049	MODIFY	Then I said, “Ah Lord GOD! They say of me, ‘Is not he a speaker of parables?’”	Then I said, “Ah Lord GOD! They say of me, ‘Isn’t he a speaker of parables?’”
Holy-Bible---English---Aionian-Bible	026	EZE	023	008	MODIFY	She has not left her prostitution since leaving Egypt; for in her youth they lay with her. They caressed her youthful nipples and they poured out their prostitution on her.	She hasn’t left her prostitution since leaving Egypt; for in her youth they lay with her. They caressed her youthful nipples and they poured out their prostitution on her.
Holy-Bible---English---Aionian-Bible	026	EZE	024	006	MODIFY	“‘Therefore the Lord GOD says: “Woe to the bloody city, to the cauldron whose rust is in it, and whose rust has not gone out of it! Take out of it piece after piece without casting lots for it.	“‘Therefore the Lord GOD says: “Woe to the bloody city, to the cauldron whose rust is in it, and whose rust hasn’t gone out of it! Take out of it piece after piece without casting lots for it.
Holy-Bible---English---Aionian-Bible	026	EZE	024	007	MODIFY	“‘“For the blood she shed is in the middle of her. She set it on the bare rock. She did not pour it on the ground, to cover it with dust.	“‘“For the blood she shed is in the middle of her. She set it on the bare rock. She didn’t pour it on the ground, to cover it with dust.
Holy-Bible---English---Aionian-Bible	026	EZE	024	012	MODIFY	She is weary with toil; yet her great rust, rust by fire, does not leave her.	She is weary with toil; yet her great rust, rust by fire, doesn’t leave her.
Holy-Bible---English---Aionian-Bible	026	EZE	024	013	MODIFY	“‘“In your filthiness is lewdness. Because I have cleansed you and you were not cleansed, you will not be cleansed from your filthiness any more, until I have caused my wrath toward you to rest.	“‘“In your filthiness is lewdness. Because I have cleansed you and you weren’t cleansed, you won’t be cleansed from your filthiness any more, until I have caused my wrath toward you to rest.
Holy-Bible---English---Aionian-Bible	026	EZE	024	014	MODIFY	“‘“I, the LORD, have spoken it. It will happen, and I will do it. I will not go back. I will not spare. I will not repent. According to your ways and according to your doings, they will judge you,” says the Lord GOD.’”	“‘“I, the LORD, have spoken it. It will happen, and I will do it. I won’t go back. I won’t spare. I won’t repent. According to your ways and according to your doings, they will judge you,” says the Lord GOD.’”
Holy-Bible---English---Aionian-Bible	026	EZE	024	017	MODIFY	Sigh, but not aloud. Make no mourning for the dead. Bind your headdress on you, and put your sandals on your feet. Do not cover your lips, and do not eat mourner’s bread.”	Sigh, but not aloud. Make no mourning for the dead. Bind your headdress on you, and put your sandals on your feet. Don’t cover your lips, and don’t eat mourner’s bread.”
Holy-Bible---English---Aionian-Bible	026	EZE	024	019	MODIFY	The people asked me, “Will not you tell us what these things mean to us, that you act like this?”	The people asked me, “Won’t you tell us what these things mean to us, that you act like this?”
Holy-Bible---English---Aionian-Bible	026	EZE	024	022	MODIFY	You will do as I have done. You will not cover your lips or eat mourner’s bread.	You will do as I have done. You won’t cover your lips or eat mourner’s bread.
Holy-Bible---English---Aionian-Bible	026	EZE	024	023	MODIFY	Your turbans will be on your heads, and your sandals on your feet. You will not mourn or weep; but you will pine away in your iniquities, and moan one toward another.	Your turbans will be on your heads, and your sandals on your feet. You won’t mourn or weep; but you will pine away in your iniquities, and moan one toward another.
Holy-Bible---English---Aionian-Bible	026	EZE	024	025	MODIFY	“You, son of man, should not it be in the day when I take from them their strength, the joy of their glory, the desire of their eyes, and that whereupon they set their heart—their sons and their daughters—	“You, son of man, shouldn’t it be in the day when I take from them their strength, the joy of their glory, the desire of their eyes, and that whereupon they set their heart—their sons and their daughters—
Holy-Bible---English---Aionian-Bible	026	EZE	026	013	MODIFY	I will cause the noise of your songs to cease. The sound of your harps will not be heard any more.	I will cause the noise of your songs to cease. The sound of your harps won’t be heard any more.
Holy-Bible---English---Aionian-Bible	026	EZE	026	015	MODIFY	“The Lord GOD says to Tyre: ‘Will not the islands shake at the sound of your fall, when the wounded groan, when the slaughter is made within you?	“The Lord GOD says to Tyre: ‘Won’t the islands shake at the sound of your fall, when the wounded groan, when the slaughter is made within you?
Holy-Bible---English---Aionian-Bible	026	EZE	029	005	MODIFY	I will cast you out into the wilderness, you and all the fish of your rivers. You will fall on the open field. You will not be brought together or gathered. I have given you for food to the animals of the earth and to the birds of the sky.	I’ll cast you out into the wilderness, you and all the fish of your rivers. You’ll fall on the open field. You won’t be brought together or gathered. I have given you for food to the animals of the earth and to the birds of the sky.
Holy-Bible---English---Aionian-Bible	026	EZE	029	011	MODIFY	No foot of man will pass through it, nor will any animal foot pass through it. It will not be inhabited for forty years.	No foot of man will pass through it, nor will any animal foot pass through it. It won’t be inhabited for forty years.
Holy-Bible---English---Aionian-Bible	026	EZE	029	015	MODIFY	It will be the lowest of the kingdoms. It will not lift itself up above the nations any more. I will diminish them so that they will no longer rule over the nations.	It will be the lowest of the kingdoms. It won’t lift itself up above the nations any more. I will diminish them so that they will no longer rule over the nations.
Holy-Bible---English---Aionian-Bible	026	EZE	031	014	MODIFY	to the end that none of all the trees by the waters exalt themselves in their stature, and do not set their top among the thick boughs. Their mighty ones do not stand up on their height, even all who drink water; for they are all delivered to death, to the lower parts of the earth, among the children of men, with those who go down to the pit.’	to the end that none of all the trees by the waters exalt themselves in their stature, and don’t set their top among the thick boughs. Their mighty ones don’t stand up on their height, even all who drink water; for they are all delivered to death, to the lower parts of the earth, among the children of men, with those who go down to the pit.’
Holy-Bible---English---Aionian-Bible	026	EZE	032	007	MODIFY	When I extinguish you, I will cover the heavens and make its stars dark. I will cover the sun with a cloud, and the moon will not give its light.	When I extinguish you, I will cover the heavens and make its stars dark. I will cover the sun with a cloud, and the moon won’t give its light.
Holy-Bible---English---Aionian-Bible	026	EZE	032	013	MODIFY	I will destroy also all its animals from beside many waters. The foot of man will not trouble them any more, nor will the hoofs of animals trouble them.	I will destroy also all its animals from beside many waters. The foot of man won’t trouble them any more, nor will the hoofs of animals trouble them.
Holy-Bible---English---Aionian-Bible	026	EZE	033	004	MODIFY	then whoever hears the sound of the trumpet and does not heed the warning, if the sword comes and takes him away, his blood will be on his own head.	then whoever hears the sound of the trumpet and doesn’t heed the warning, if the sword comes and takes him away, his blood will be on his own head.
Holy-Bible---English---Aionian-Bible	026	EZE	033	005	MODIFY	He heard the sound of the trumpet and did not take warning. His blood will be on him; whereas if he had heeded the warning, he would have delivered his soul.	He heard the sound of the trumpet and didn’t take warning. His blood will be on him; whereas if he had heeded the warning, he would have delivered his soul.
Holy-Bible---English---Aionian-Bible	026	EZE	033	006	MODIFY	But if the watchman sees the sword come and does not blow the trumpet, and the people are not warned, and the sword comes and takes any person from among them, he is taken away in his iniquity, but his blood I will require at the watchman’s hand.’	But if the watchman sees the sword come and doesn’t blow the trumpet, and the people aren’t warned, and the sword comes and takes any person from among them, he is taken away in his iniquity, but his blood I will require at the watchman’s hand.’
Holy-Bible---English---Aionian-Bible	026	EZE	033	008	MODIFY	When I tell the wicked, ‘O wicked man, you will surely die,’ and you do not speak to warn the wicked from his way, that wicked man will die in his iniquity, but I will require his blood at your hand.	When I tell the wicked, ‘O wicked man, you will surely die,’ and you don’t speak to warn the wicked from his way, that wicked man will die in his iniquity, but I will require his blood at your hand.
Holy-Bible---English---Aionian-Bible	026	EZE	033	009	MODIFY	Nevertheless, if you warn the wicked of his way to turn from it, and he does not turn from his way; he will die in his iniquity, but you have delivered your soul.	Nevertheless, if you warn the wicked of his way to turn from it, and he doesn’t turn from his way; he will die in his iniquity, but you have delivered your soul.
Holy-Bible---English---Aionian-Bible	026	EZE	033	031	MODIFY	They come to you as the people come, and they sit before you as my people, and they hear your words, but do not do them; for with their mouth they show much love, but their heart goes after their gain.	They come to you as the people come, and they sit before you as my people, and they hear your words, but don’t do them; for with their mouth they show much love, but their heart goes after their gain.
Holy-Bible---English---Aionian-Bible	026	EZE	033	032	MODIFY	Behold, you are to them as a very lovely song of one who has a pleasant voice, and can play well on an instrument; for they hear your words, but they do not do them.	Behold, you are to them as a very lovely song of one who has a pleasant voice, and can play well on an instrument; for they hear your words, but they don’t do them.
Holy-Bible---English---Aionian-Bible	026	EZE	034	002	MODIFY	“Son of man, prophesy against the shepherds of Israel. Prophesy, and tell them, even the shepherds, ‘The Lord GOD says: “Woe to the shepherds of Israel who feed themselves! Should not the shepherds feed the sheep?	“Son of man, prophesy against the shepherds of Israel. Prophesy, and tell them, even the shepherds, ‘The Lord GOD says: “Woe to the shepherds of Israel who feed themselves! Shouldn’t the shepherds feed the sheep?
Holy-Bible---English---Aionian-Bible	026	EZE	034	003	MODIFY	You eat the fat. You clothe yourself with the wool. You kill the fatlings, but you do not feed the sheep.	You eat the fat. You clothe yourself with the wool. You kill the fatlings, but you don’t feed the sheep.
Holy-Bible---English---Aionian-Bible	026	EZE	034	004	MODIFY	You have not strengthened the diseased. You have not healed that which was sick. You have not bound up that which was broken. You have not brought back that which was driven away. You have not sought that which was lost, but you have ruled over them with force and with rigor.	You haven’t strengthened the diseased. You haven’t healed that which was sick. You haven’t bound up that which was broken. You haven’t brought back that which was driven away. You haven’t sought that which was lost, but you have ruled over them with force and with rigor.
Holy-Bible---English---Aionian-Bible	026	EZE	034	008	MODIFY	“As I live,” says the Lord GOD, “surely because my sheep became a prey, and my sheep became food to all the animals of the field, because there was no shepherd, and my shepherds did not search for my sheep, but the shepherds fed themselves, and did not feed my sheep,	“As I live,” says the Lord GOD, “surely because my sheep became a prey, and my sheep became food to all the animals of the field, because there was no shepherd, and my shepherds didn’t search for my sheep, but the shepherds fed themselves, and didn’t feed my sheep,
Holy-Bible---English---Aionian-Bible	026	EZE	034	010	MODIFY	The Lord GOD says: “Behold, I am against the shepherds. I will require my sheep at their hand, and cause them to cease from feeding the sheep. The shepherds will not feed themselves any more. I will deliver my sheep from their mouth, that they may not be food for them.”	The Lord GOD says: “Behold, I am against the shepherds. I will require my sheep at their hand, and cause them to cease from feeding the sheep. The shepherds won’t feed themselves any more. I will deliver my sheep from their mouth, that they may not be food for them.”
Holy-Bible---English---Aionian-Bible	026	EZE	036	015	MODIFY	“I will not let you hear the shame of the nations any more. You will not bear the reproach of the peoples any more, and you will not cause your nation to stumble any more,” says the Lord GOD.’”	“I won’t let you hear the shame of the nations any more. You won’t bear the reproach of the peoples any more, and you won’t cause your nation to stumble any more,” says the Lord GOD.’”
Holy-Bible---English---Aionian-Bible	026	EZE	036	022	MODIFY	“Therefore tell the house of Israel, ‘The Lord GOD says: “I do not do this for your sake, house of Israel, but for my holy name, which you have profaned among the nations where you went.	“Therefore tell the house of Israel, ‘The Lord GOD says: “I don’t do this for your sake, house of Israel, but for my holy name, which you have profaned among the nations where you went.
Holy-Bible---English---Aionian-Bible	026	EZE	036	032	MODIFY	I do not do this for your sake,” says the Lord GOD. “Let it be known to you. Be ashamed and confounded for your ways, house of Israel.”	I don’t do this for your sake,” says the Lord GOD. “Let it be known to you. Be ashamed and confounded for your ways, house of Israel.”
Holy-Bible---English---Aionian-Bible	026	EZE	037	018	MODIFY	“When the children of your people speak to you, saying, ‘Will not you show us what you mean by these?’	“When the children of your people speak to you, saying, ‘Won’t you show us what you mean by these?’
Holy-Bible---English---Aionian-Bible	026	EZE	037	022	MODIFY	I will make them one nation in the land, on the mountains of Israel. One king will be king to them all. They will no longer be two nations. They will not be divided into two kingdoms any more at all.	I will make them one nation in the land, on the mountains of Israel. One king will be king to them all. They will no longer be two nations. They won’t be divided into two kingdoms any more at all.
Holy-Bible---English---Aionian-Bible	026	EZE	037	023	MODIFY	They will not defile themselves any more with their idols, nor with their detestable things, nor with any of their transgressions; but I will save them out of all their dwelling places in which they have sinned, and will cleanse them. So they will be my people, and I will be their God.	They won’t defile themselves any more with their idols, nor with their detestable things, nor with any of their transgressions; but I will save them out of all their dwelling places in which they have sinned, and will cleanse them. So they will be my people, and I will be their God.
Holy-Bible---English---Aionian-Bible	026	EZE	039	007	MODIFY	“‘“I will make my holy name known among my people Israel. I will not allow my holy name to be profaned any more. Then the nations will know that I am the LORD, the Holy One in Israel.	“‘“I will make my holy name known among my people Israel. I won’t allow my holy name to be profaned any more. Then the nations will know that I am the LORD, the Holy One in Israel.
Holy-Bible---English---Aionian-Bible	026	EZE	039	029	MODIFY	I will not hide my face from them any more, for I have poured out my Spirit on the house of Israel,’ says the Lord GOD.”	I won’t hide my face from them any more, for I have poured out my Spirit on the house of Israel,’ says the Lord GOD.”
Holy-Bible---English---Aionian-Bible	026	EZE	042	006	MODIFY	For they were in three stories, and they did not have pillars as the pillars of the courts. Therefore the uppermost was set back more than the lowest and the middle from the ground.	For they were in three stories, and they didn’t have pillars as the pillars of the courts. Therefore the uppermost was set back more than the lowest and the middle from the ground.
Holy-Bible---English---Aionian-Bible	026	EZE	047	012	MODIFY	By the river banks, on both sides, will grow every tree for food, whose leaf will not wither, neither will its fruit fail. It will produce new fruit every month, because its waters issue out of the sanctuary. Its fruit will be for food, and its leaf for healing.”	By the river banks, on both sides, will grow every tree for food, whose leaf won’t wither, neither will its fruit fail. It will produce new fruit every month, because its waters issue out of the sanctuary. Its fruit will be for food, and its leaf for healing.”
Holy-Bible---English---Aionian-Bible	026	EZE	048	011	MODIFY	It shall be for the priests who are sanctified of the sons of Zadok, who have kept my instruction, who did not go astray when the children of Israel went astray, as the Levites went astray.	It shall be for the priests who are sanctified of the sons of Zadok, who have kept my instruction, who didn’t go astray when the children of Israel went astray, as the Levites went astray.
Holy-Bible---English---Aionian-Bible	027	DAN	002	005	MODIFY	The king answered the Chaldeans, “The thing has gone from me. If you do not make known to me the dream and its interpretation, you will be cut in pieces, and your houses will be made a dunghill.	The king answered the Chaldeans, “The thing has gone from me. If you don’t make known to me the dream and its interpretation, you will be cut in pieces, and your houses will be made a dunghill.
Holy-Bible---English---Aionian-Bible	027	DAN	002	009	MODIFY	But if you do not make known to me the dream, there is but one law for you; for you have prepared lying and corrupt words to speak before me, until the situation changes. Therefore tell me the dream, and I will know that you can show me its interpretation.”	But if you don’t make known to me the dream, there is but one law for you; for you have prepared lying and corrupt words to speak before me, until the situation changes. Therefore tell me the dream, and I will know that you can show me its interpretation.”
Holy-Bible---English---Aionian-Bible	027	DAN	002	024	MODIFY	Therefore Daniel went in to Arioch, whom the king had appointed to destroy the wise men of Babylon. He went and said this to him: “Do not destroy the wise men of Babylon. Bring me in before the king, and I will show to the king the interpretation.”	Therefore Daniel went in to Arioch, whom the king had appointed to destroy the wise men of Babylon. He went and said this to him: “Don’t destroy the wise men of Babylon. Bring me in before the king, and I will show to the king the interpretation.”
Holy-Bible---English---Aionian-Bible	027	DAN	002	027	MODIFY	Daniel answered before the king, and said, “The secret which the king has demanded cannot be shown to the king by wise men, enchanters, magicians, or soothsayers;	Daniel answered before the king, and said, “The secret which the king has demanded can’t be shown to the king by wise men, enchanters, magicians, or soothsayers;
Holy-Bible---English---Aionian-Bible	027	DAN	002	043	MODIFY	Whereas you saw the iron mixed with miry clay, they will mingle themselves with the seed of men; but they will not cling to one another, even as iron does not mix with clay.	Whereas you saw the iron mixed with miry clay, they will mingle themselves with the seed of men; but they won’t cling to one another, even as iron does not mix with clay.
Holy-Bible---English---Aionian-Bible	027	DAN	003	006	MODIFY	Whoever does not fall down and worship shall be cast into the middle of a burning fiery furnace the same hour.”	Whoever doesn’t fall down and worship shall be cast into the middle of a burning fiery furnace the same hour.”
